               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.018803,           0.0050942,                   0,             0.90374,                 0.8,             0.84351,             0.50536,            0.030712,           0.0045769,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.018457,           0.0051729,                   0,             0.92854,                0.82,             0.86563,             0.49007,            0.029569,           0.0044492,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.018624,           0.0048293,                   0,             0.91819,                 0.8,             0.86644,             0.48508,             0.03063,           0.0043947,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.018829,           0.0051312,                   0,             0.90229,                 0.8,             0.84504,             0.48634,            0.030753,           0.0045212,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.019454,           0.0051573,                   0,             0.90849,              0.7943,             0.84951,             0.49448,            0.030117,           0.0046327,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.018588,           0.0049581,                   0,              0.8829,                 0.8,              0.8434,             0.49009,            0.029984,           0.0045943,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.019237,           0.0047597,                   0,             0.88743,                 0.8,             0.82642,             0.47799,            0.029545,           0.0045894,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.017181,           0.0050709,                   0,             0.88635,                 0.8,             0.84992,              0.4783,             0.03054,           0.0046333,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.018067,           0.0051119,                   0,             0.88977,                0.82,             0.85114,             0.48731,            0.029786,           0.0044948,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.017831,           0.0051469,                   0,             0.88991,                0.82,             0.84976,             0.49331,            0.029254,           0.0045323,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.018265,           0.0052922,                   0,             0.91112,                0.84,             0.85987,             0.50369,            0.028399,           0.0045755,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.018535,           0.0048302,                   0,             0.88913,                0.82,             0.84338,              0.5121,            0.029721,           0.0044887,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.017527,           0.0049302,                   0,             0.89897,                0.82,             0.85425,             0.49735,            0.030379,           0.0045314,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.018042,           0.0048232,                   0,             0.89561,                 0.8,             0.84188,             0.49547,             0.03017,           0.0047917,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.017655,           0.0050132,                   0,             0.88855,                 0.8,             0.83243,             0.49598,            0.029784,           0.0047784,                   0,            0.005479,            0.005479,            0.005479
